word_bw	word_ar	lemma_bw	lemma_ar	pos	stem_bw	stem_ar	gloss	root_bw	root_ar
qwlt	قولت	qawlap	قَولَة	noun	qawl	قَول	remark_[CALIMA]+[fem.sg.]_[CALIMA]	None	None
lnAs	لناس	nAs	ناس	noun	nAs	ناس	for;to_[CALIMA]+people_[CALIMA]	None	None
ktyr	كتير	kaviyr	كَثِير	adj	kaviyr	كَثِير	many;much;numerous;a_lot;very_[CALIMA]	None	None
fY	فى	fiy	فِي	abbrev	fiy	فِي	V._[ARAMORPH]	None	None
Aljrwb	الجروب	juruwb	جُرُوب	noun	juruwb	جُرُوب	the_[CALIMA]+group_[CALIMA]	None	None
An	ان	<in~	إِنّ	conj_sub	<in~	إِنّ	if_[CALIMA]	None	None
AllY	اللى	All~iy	اللِّي	pron_rel	All~iy	اللِّي	which;who;whom_[CALIMA]	None	None
byHSl	بيحصل	HaSal	حَصَل	verb	HoSul	حْصُل	[present-tense]_+_he;it_[ADAM]+obtain;acquire;get_[ARAMORPH]	None	None
dh	ده	dah	دَه	pron_dem	dah	دَه	that_[CALIMA]	None	None
m$	مش	mi$	مِش	part_neg	mi$	مِش	TBA_[CALIMA]	None	None
hAydwm	هايدوم	dAm	دام	verb	duwm	دُوم	will_+_he;it_[ADAM]+last;persevere;continue_[ARAMORPH]	None	None
mmkn	ممكن	mumokin	مُمْكِن	adj	mumokin	مُمْكِن	possible_[CALIMA]	None	None
ykwn	يكون	kAn	كان	verb	kuwn	كُون	he;it_[CALIMA]+be;was;were_[CALIMA]	None	None
AHnA	احنا	AiHonA	اِحْنا	pron	AiHonA	اِحْنا	we;us_[CALIMA]	None	None
lynA	لينا	li	لِ	prep	liynA	لِينا	to;him_(it;he_has);them;her_(it;she_has;they_have);for_[CALIMA]	None	None
Alyd	اليد	yad	يَد	noun	yad	يَد	the_[CALIMA]+hand;hands_[CALIMA]	None	None
AlEAlyp	العالية	EAliy	عالِي	adj	EAly	عالي	the_[CALIMA]+high;elevated_[CALIMA]+[fem.sg.]_[CALIMA]	None	None
fY	فى	fiy	فِي	abbrev	fiy	فِي	V._[ARAMORPH]	None	None
AlqAhrp	القاهرة	qAhirap	قاهِرَة	noun_prop	qAhir	قاهِر	the_[CALIMA]+Cairo_[CALIMA]+[fem.sg.]_[CALIMA]	None	None
lkn	لكن	lakin	لَكِن	conj	lakin	لَكِن	Rather;even;but;yet;however;but_rather_[CALIMA]	None	None
fY	فى	fiy	فِي	abbrev	fiy	فِي	V._[ARAMORPH]	None	None
AlmHAfZAt	المحافظات	muHAfaZap	مُحافَظَة	noun	muHAfaZ	مُحافَظ	the_[ARAMORPH]+protection_[ARAMORPH]+[fem.pl.]_[ARAMORPH]	None	None
wxSwSA	وخصوصا	xuSuwS	خُصُوص	noun	xuSuwS	خُصُوص	and_[CALIMA]+matter;issue;regard;respect;especially;in_particular_[CALIMA]+[acc.indef.]_[CALIMA]	None	None
bwrsEyd	بورسعيد	buwrosaEiyd	بُورْسَعِيد	noun_prop	buwrosaEiyd	بُورْسَعِيد	Port_Said_[CALIMA]	None	None
SEb	صعب	SaEob	صَعْب	adj	SaEob	صَعْب	difficult;hard;arduous_[CALIMA]	None	None
wAllY	واللى	All~iy	اللِّي	pron_rel	All~iy	اللِّي	and_[CALIMA]+which;who;whom_[CALIMA]	None	None
HSl	حصل	HaSal	حَصَل	verb	HaSal	حَصَل	obtain;acquire;get;be_obtained;be_acquired;occur;happen;take_place_[CALIMA]	None	None
mn	من	man	مَن	pron_interrog	man	مَن	who;whom_[ARAMORPH]	None	None
tksyr	تكسير	takosiyr	تَكْسِير	noun	takosiyr	تَكْسِير	fragmentation;fracturing_[CALIMA]	None	None
dh	ده	dah	دَه	pron_dem	dah	دَه	that_[CALIMA]	None	None
hAytrd	هايترد	hAytrd	هايترد	noun_prop	hAytrd	هايترد	NO_ANALYSIS_[ARAMORPH]	None	None
Elyh	عليه	EalaY	عَلَى	prep	Ealayh	عَلَيه	on;above_[CALIMA]	None	None
lAn	لان	<in~	إِنّ	conj_sub	li<in~	لِإِنّ	if_[CALIMA]	None	None
bwrsEyd	بورسعيد	buwrosaEiyd	بُورْسَعِيد	noun_prop	buwrosaEiyd	بُورْسَعِيد	Port_Said_[CALIMA]	None	None
mn	من	man	مَن	pron_interrog	man	مَن	who;whom_[ARAMORPH]	None	None
sAEp	ساعة	sAEap	ساعَة	noun	sAE	ساع	hour;time;hours;clock;watch;timepiece;clocks;watches_[CALIMA]+[fem.sg.]_[CALIMA]	None	None
syd	سيد	say~id	سَيِّد	noun	say~id	سَيِّد	Sir;Mr.;Mister;Sirs;Messrs.;gentlement;master_[CALIMA]	None	None
mtwlY	متولى	mtwly	متولي	noun_prop	mtwly	متولي	NO_ANALYSIS_[ARAMORPH]	None	None
whY	وهى	hiy~a	هِيَّ	pron	hiy~a	هِيَّ	and_[CALIMA]+it;they;she_[CALIMA]	None	None
btEAnY	بتعانى	EAnaY	عانَى	verb	EAniy	عانِي	[present-tense]_+_it;they;she_[CALIMA]+suffer;be_suffered_[CALIMA]	None	None
mn	من	man	مَن	pron_interrog	man	مَن	who;whom_[ARAMORPH]	None	None
tksyr	تكسير	takosiyr	تَكْسِير	noun	takosiyr	تَكْسِير	fragmentation;fracturing_[CALIMA]	None	None
wtxryb	وتخريب	taxoriyb	تَخْرِيب	noun	taxoriyb	تَخْرِيب	and_[CALIMA]+destruction;sabotage;terrorism_[CALIMA]	None	None
bs	بس	bas~	بَسّ	interj	bas~	بَسّ	hush_[CALIMA]	None	None
mHd$	محدش	Had~	حَدّ	noun	Had~	حَدّ	not_[CALIMA]+stop;halt;end;extent;limit;level;border;frontier_[CALIMA]+not_[CALIMA]	None	None
kAn	كان	kAn	كان	verb	kAn	كان	be;was;were_[CALIMA]	None	None
bysmE	بيسمع	simiE	سِمِع	verb	somaE	سْمَع	[present-tense]_+_he;it_[CALIMA]+have_listen;listen;make_hear;hear_[CALIMA]	None	None
wklh	وكله	kul~	كُلّ	noun_quant	kul~	كُلّ	and_[CALIMA]+all;entire;every;whole_[CALIMA]+his;its_[CALIMA]	None	None
kAn	كان	kAn	كان	verb	kAn	كان	be;was;were_[CALIMA]	None	None
fAkr	فاكر	fAkir	فاكِر	adj	fAkir	فاكِر	remembering;thinking_[CALIMA]	None	None
Anh	انه	<in~	إِنّ	conj_sub	<in~uh	إِنُّه	if_[CALIMA]	None	None
kdp	كدة	kidah	كِدَه	noun	kidap	كِدَة	this;after_all_that_time;in_this_way;approximately;like_that;as_such;that;like_[CALIMA]	None	None
brns	برنس	buronus	بُرْنُس	noun	buronus	بُرْنُس	burnoose;burnooses_[CALIMA]	None	None
AllyAlY	الليالى	laylap	لَيلَة	noun	layAliy	لَيالِي	the_[CALIMA]+night;evening;soire;nights;evenings;soires_[CALIMA]	None	None
wbyElm	وبيعلم	Eilim	عِلِم	verb	Eolam	عْلَم	and_+_[present-tense]_+_he;it_[CALIMA]+know;find_out_[CALIMA]	None	None
ElY	على	EalaY	عَلَى	prep	EalaY	عَلَى	on;above_[CALIMA]	None	None
AY	اى	>ay	أَي	abbrev	>ay	أَي	A._[ARAMORPH]	None	None
Hd	حد	Had~	حَدّ	noun	Had~	حَدّ	stop;halt;end;extent;limit;level;border;frontier_[CALIMA]	None	None
wmkAn$	ومكانش	kAn	كان	verb	kAn	كان	and_+_not_[CALIMA]+be;was;were_[CALIMA]+he;it_+_not_[CALIMA]	None	None
mSdq	مصدق	miSad~aq	مِصَدَّق	adj	miSad~aq	مِصَدَّق	credible;believing;believed_[CALIMA]	None	None
An	ان	<in~	إِنّ	conj_sub	<in~	إِنّ	if_[CALIMA]	None	None
mmkn	ممكن	mumokin	مُمْكِن	adj	mumokin	مُمْكِن	possible_[CALIMA]	None	None
Hd	حد	Had~	حَدّ	noun	Had~	حَدّ	stop;halt;end;extent;limit;level;border;frontier_[CALIMA]	None	None
yElm	يعلم	Eilim	عِلِم	verb	Eolam	عْلَم	he;it_[CALIMA]+know;find_out_[CALIMA]	None	None
Elyh	عليه	EalaY	عَلَى	prep	Ealayh	عَلَيه	on;above_[CALIMA]	None	None
kl	كل	kul~	كُلّ	noun	kul~	كُلّ	all_[CALIMA]	None	None
qyAdAt	قيادات	qiyAdap	قِيادَة	noun	qiyAd	قِياد	leadership;command;leaders;commanders_[CALIMA]+[fem.pl.]_[CALIMA]	None	None
ms}wlp	مسئولة	maso&uwl	مَسْؤُول	adj	maso}uwl	مَسْئُول	responsible;dependable_[ARAMORPH]+[fem.sg.]_[ARAMORPH]	None	None
En	عن	Ean	عَن	prep	Ean	عَن	(away)_from;off;about;on;over_[CALIMA]	None	None
mA	ما	mA	ما	part	mA	ما	[no_gloss]_[CALIMA]	None	None
Hdv	حدث	Had~iv	حَدِّث	verb	Had~iv	حَدِّث	tell;speak;discuss;talk_to;happen;take_place;occur;flow_[CALIMA]+you_[CALIMA]	None	None
l$wyp	لشوية	$uway~ap	شُوَيَّة	noun	$uway~	شُوَيّ	for;to_[CALIMA]+a_little_bit_[CALIMA]+[fem.sg.]_[CALIMA]	None	None
$bAb	شباب	$Ab~	شابّ	noun	$abAb	شَباب	young_man;young_men_[CALIMA]	None	None
wATfAl	واطفال	Tifol	طِفْل	noun	>aTofAl	أَطْفال	and_[ARAMORPH]+children;infants_[ARAMORPH]	None	None
Allh	الله	All~ah	اللَّه	noun_prop	All~ah	اللَّه	TBA_[CALIMA]	None	None
yrHmhm	يرحمهم	raHam	رَحَم	verb	roHam	رْحَم	he;it_[CALIMA]+mercy;have_mercy;protect;be_compassionate;have_mercy_on;bless;have_pity_on;be_merciful_[CALIMA]+them_[CALIMA]	None	None
wAllh	والله	<il~A	إِلّا	noun	Allah	اللَه	and;with_[CALIMA]+God;Allah_[CALIMA]	None	None
yjAzY	يجازى	yjAzy	يجازي	noun_prop	yjAzy	يجازي	NO_ANALYSIS_[ARAMORPH]	None	None
AllY	اللى	All~iy	اللِّي	pron_rel	All~iy	اللِّي	which;who;whom_[CALIMA]	None	None
kAn	كان	kAn	كان	verb	kAn	كان	be;was;were_[CALIMA]	None	None
Alsbb	السبب	sabab	سَبَب	noun	sabab	سَبَب	the_[CALIMA]+reason;cause;because_of;due_to;reasons;causes;circumstances_[CALIMA]	None	None
wTlE	وطلع	TiliE	طِلِع	verb	TiliE	طِلِع	and_[CALIMA]+emerge;go_out;rise;appear_[CALIMA]+he;it_[CALIMA]	None	None
AlyAfTp	اليافطة	yafoTap	يَفْطَة	noun	yAfoT	يافْط	the_[ARAMORPH]+placard;sign_[ARAMORPH]+[fem.sg.]_[ARAMORPH]	None	None
wDrb	وضرب	Darab	ضَرَب	verb	Darab	ضَرَب	and_[CALIMA]+strike;hit;be_struck;be_hit_[CALIMA]+he;it_[CALIMA]	None	None
$mAryx	شماريخ	$mAryx	شماريخ	noun_prop	$mAryx	شماريخ	NO_ANALYSIS_[ARAMORPH]	None	None
wSwAryx	وصواريخ	SAruwx	صارُوخ	noun	SawAriyx	صَوارِيخ	and_[ARAMORPH]+missiles;rockets_[ARAMORPH]	None	None
AlDrb	الضرب	Darob	ضَرْب	noun	Darob	ضَرْب	the_[CALIMA]+strike;attack;bombardment;beating;hitting;striking_[CALIMA]	None	None
mkAn$	مكانش	kAn	كان	verb	kAn	كان	not_[CALIMA]+be;was;were_[CALIMA]+he;it_+_not_[CALIMA]	None	None
E$An	عشان	$a>on	شَأْن	noun	$a>on	شَأْن	on;above_[CALIMA]+matter;affair;case;importance;status;situation;condition;affairs_[CALIMA]	None	None
AlyAfTp	اليافطة	yafoTap	يَفْطَة	noun	yAfoT	يافْط	the_[ARAMORPH]+placard;sign_[ARAMORPH]+[fem.sg.]_[ARAMORPH]	None	None
bs	بس	bas~	بَسّ	interj	bas~	بَسّ	hush_[CALIMA]	None	None
wlkn	ولكن	lakin	لَكِن	conj	lakin	لَكِن	and_[CALIMA]+Rather;even;but;yet;however;but_rather_[CALIMA]	None	None
E$An	عشان	$a>on	شَأْن	noun	$a>on	شَأْن	on;above_[CALIMA]+matter;affair;case;importance;status;situation;condition;affairs_[CALIMA]	None	None
HAjAt	حاجات	HAjap	حاجَة	noun	HAj	حاج	need;needs;thing;belongings_[CALIMA]+[fem.pl.]_[CALIMA]	None	None
ktyr	كتير	kaviyr	كَثِير	adj	kaviyr	كَثِير	many;much;numerous;a_lot;very_[CALIMA]	None	None
qbl	قبل	qabol	قَبْل	noun	qabol	قَبْل	before;previously;formerly_[CALIMA]	None	None
kdp	كدة	kidah	كِدَه	noun	kidap	كِدَة	this;after_all_that_time;in_this_way;approximately;like_that;as_such;that;like_[CALIMA]	None	None
lkn	لكن	lakin	لَكِن	conj	lakin	لَكِن	Rather;even;but;yet;however;but_rather_[CALIMA]	None	None
AlyAfTp	اليافطة	yafoTap	يَفْطَة	noun	yAfoT	يافْط	the_[ARAMORPH]+placard;sign_[ARAMORPH]+[fem.sg.]_[ARAMORPH]	None	None
kAnt	كانت	kAn	كان	verb	kAn	كان	be;was;were_[CALIMA]+it;they;she_[CALIMA]	None	None
$rArp	شرارة	$arArap	شَرارَة	noun	$arAr	شَرار	spark;sparks_[CALIMA]+[fem.sg.]_[CALIMA]	None	None
AlAnTlAq	الانطلاق	{inoTilAq	ٱِنْطِلاق	noun	{inoTilAq	ٱِنْطِلاق	the_[ARAMORPH]+departure_[ARAMORPH]	None	None
nfsY	نفسى	nafos	نَفْس	noun	nafos	نَفْس	same;self;selves;soul;souls_[CALIMA]+my_[CALIMA]	None	None
AErf	اعرف	Earaf	عَرَف	verb	Eoraf	عْرَف	I_[CALIMA]+know;be_known_[CALIMA]	None	None
mn	من	man	مَن	pron_interrog	man	مَن	who;whom_[ARAMORPH]	None	None
AlgbY	الغبى	gabiy	غَبِي	adj	gabiy	غَبِي	the_[CALIMA]+stupid;ignorant_[CALIMA]	None	None
SAHb	صاحب	SAHib	صاحِب	noun	SAHib	صاحِب	owner;originator;owners;originators;friend;companion;friends;companions_[CALIMA]	None	None
h*h	هذه	h`*A	هٰذا	pron_dem	h`*ihi	هٰذِهِ	this;these_[ARAMORPH]	None	None
AlrsAlp	الرسالة	risAlap	رِسالَة	noun	risAl	رِسال	the_[CALIMA]+letter;communication;dissertation;letters;messages;mission;task_[CALIMA]+[fem.sg.]_[CALIMA]	None	None
AlHqyrp	الحقيرة	Haqiyr	حَقِير	adj	Haqiyr	حَقِير	the_[CALIMA]+despised;despicable_[CALIMA]+[fem.sg.]_[CALIMA]	None	None
Aywh	ايوه	>aywap	أَيوَة	interj	>aywap	أَيوَة	TBA_[CALIMA]	None	None
kdh	كده	kidah	كِدَه	noun	kidap	كِدَة	this;after_all_that_time;in_this_way;approximately;like_that;as_such;that;like_[CALIMA]	None	None
AtEdl	اتعدل	AitoEadal	اِتْعَدَل	verb	AitoEadal	اِتْعَدَل	be_stable;alter;be_moderate;be_altered;modify;be_steady;rectify;be_corrected_[CALIMA]+he;it_[CALIMA]	None	None
fY	فى	fiy	فِي	abbrev	fiy	فِي	V._[ARAMORPH]	None	None
Hd	حد	Had~	حَدّ	noun	Had~	حَدّ	stop;halt;end;extent;limit;level;border;frontier_[CALIMA]	None	None
lsh	لسه	lis~ah	لِسَّه	adv	lis~ah	لِسَّه	yet_[CALIMA]	None	None
hnA	هنا	hinA	هِنا	adv	hinA	هِنا	here_[CALIMA]	None	None
w$krA	وشكرا	$ukor	شُكْر	noun	$ukor	شُكْر	and_[CALIMA]+thankfulness;thanks;thank_you_[CALIMA]+[acc.indef.]_[CALIMA]	None	None
ElY	على	EalaY	عَلَى	prep	EalaY	عَلَى	on;above_[CALIMA]	None	None
rdk	ردك	rad~	رَدّ	noun	rad~	رَدّ	reply;response;replies;responses;return;repulsion;in_reply_to;in_answer_to_[CALIMA]+your_[CALIMA]	None	None
AlwAHd	الواحد	wAHid	واحِد	noun_num	wAHid	واحِد	the_[CALIMA]+one_[CALIMA]	None	None
myErf$	ميعرفش	Earaf	عَرَف	verb	Eoraf	عْرَف	not_+_he;it_[CALIMA]+know;be_known_[CALIMA]+not_[CALIMA]	None	None
ynAm	ينام	nAm	نام	verb	nAm	نام	he;it_[CALIMA]+sleep;lie_down_[CALIMA]	None	None
xAlS	خالص	xAliS	خالِص	adj	xAliS	خالِص	pure;clear;sincere_[CALIMA]	None	None
fy	في	fiy	فِي	abbrev	fiy	فِي	V._[ARAMORPH]	None	None
Albld	البلد	balad	بَلَد	noun	balad	بَلَد	the_[CALIMA]+country;countries_[CALIMA]	None	None
dY	دى	diy	دِي	pron_dem	diy	دِي	this;that_[CALIMA]	None	None
bs	بس	bas~	بَسّ	interj	bas~	بَسّ	hush_[CALIMA]	None	None
Ant	انت	Ainota	اِنْتَ	pron	Ainota	اِنْتَ	you_[masc.sg.];you;masculine_[CALIMA]	None	None
lw	لو	law	لَو	conj_sub	law	لَو	if_[CALIMA]	None	None
EAyz	عايز	EAyiz	عايِز	adj	EAyiz	عايِز	needing;liking;requiring;wanting;desiring_[CALIMA]	None	None
tnzl	تنزل	nazal	نَزَل	verb	nozil	نْزِل	you_[CALIMA]+descend;stay_[CALIMA]	None	None
Alqr>n	القرأن	quro|n	قُرْآن	noun_prop	quro|n	قُرْآن	the_[ARAMORPH]+Quran_[ARAMORPH]	None	None
kAml	كامل	kAmil	كامِل	adj	kAmil	كامِل	complete;full;integral_[CALIMA]	None	None
ll$yx	للشيخ	$ayox	شَيْخ	noun	$ayox	شَيْخ	to;for_+_the_[ARAMORPH]+sheikh;chieftain_[ARAMORPH]	None	None
mHmd	محمد	muHam~ad	مُحَمَّد	noun_prop	muHam~ad	مُحَمَّد	Muhammad;Mohamed_[ARAMORPH]	None	None
jbryl	جبريل	jbryl	جبريل	noun_prop	jbryl	جبريل	NO_ANALYSIS_[ARAMORPH]	None	None
Aw	او	>aw	أَو	conj	>aw	أَو	Or;if_not;unless;except_if;except_when_[CALIMA]	None	None
lAY	لاى	>ay~	أَيّ	noun_quant	>ay~	أَيّ	for;to_[CALIMA]+any_[CALIMA]	None	None
$yx	شيخ	$ayox	شَيْخ	noun	$ayox	شَيْخ	sheikh;chieftain_[ARAMORPH]	None	None
Axr	اخر	|xir	آخِر	adj_comp	|xir	آخِر	last;end_[CALIMA]	None	None
yAllh	يالله	yAll~`h	ياللّٰه	noun	yAll~`h	ياللّٰه	let's_go!_[ARAMORPH]	None	None
yA	يا	yA	يا	part_voc	yA	يا	O;oh_[CALIMA]	None	None
AbTAl	ابطال	baTal	بَطَل	noun	>aboTAl	أَبْطال	heroes;champions;stars_[ARAMORPH]	None	None
fADl	فاضل	fADil	فاضِل	noun_prop	fADil	فاضِل	Fadil_[ARAMORPH]	None	None
5	5	5	5	digit	5	5	5	None	None
dqAyq	دقايق	diqiyqap	دِقِيقَة	noun	daqAyiq	دَقايِق	minute;minutes_[CALIMA]	None	None
E*rA	عذرا	Eu*or	عُذْر	noun	Eu*or	عُذْر	excuse_[ARAMORPH]+[acc.indef.]_[ARAMORPH]	None	None
AbnA'	ابناء	Aibon	اِبْن	noun	AabonA'	اَبْناء	son;children_of;children;daughter;sons_[CALIMA]	None	None
Alsyd	السيد	say~id	سَيِّد	noun	say~id	سَيِّد	the_[CALIMA]+Sir;Mr.;Mister;Sirs;Messrs.;gentlement;master_[CALIMA]	None	None
AlbdwY	البدوى	badawiy~	بَدَوِيّ	adj	badawiy~	بَدَوِيّ	the_[ARAMORPH]+Bedouin_[ARAMORPH]	None	None
yAjmAEp	ياجماعة	jamAEap	جَماعَة	noun	jamAE	جَماع	O;oh_[CALIMA]+party;group;squad;groups;parties;squads_[CALIMA]+[fem.sg.]_[CALIMA]	None	None
$w	شو	$uw	شُو	noun_prop	$uw	شُو	Shaw_[ARAMORPH]	None	None
r>ykm	رأيكم	ra>oy	رَأْي	noun	ra>oy	رَأْي	opinion;view;idea;opinions;views;ideas_[CALIMA]+your_[CALIMA]	None	None
bklAm	بكلام	kalAm	كَلام	noun	kalAm	كَلام	with;by_[CALIMA]+speech;statement;remark;talk;saying_[CALIMA]	None	None
AbrAhym	ابراهيم	<iborAhiym	إِبْراهِيم	noun_prop	<iborAhiym	إِبْراهِيم	Ibrahim_[ARAMORPH]	None	None
sEyd	سعيد	saEiyd	سَعِيد	noun_prop	saEiyd	سَعِيد	Said;Saeed_[CALIMA]	None	None
<nh	إنه	<in~	إِنّ	conj_sub	<in~uh	إِنُّه	if_[CALIMA]	None	None
nfsh	نفسه	nafos	نَفْس	noun	nafos	نَفْس	same;self;selves;soul;souls_[CALIMA]+his;its_[CALIMA]	None	None
yrjE	يرجع	rijiE	رِجِع	verb	rojaE	رْجَع	he;it_[CALIMA]+come_back;return_[CALIMA]	None	None
Al>hly	الأهلي	>aholiy~	أَهْلِيّ	noun_prop	>aholiy~	أَهْلِيّ	the_[CALIMA]+Ahly;Ahli_[ARAMORPH]	None	None
tAny	تاني	tAniy	تانِي	adj	tAniy	تانِي	the_last;secondly;again;next;second;thani;other_[CALIMA]	None	None
Allhm	اللهم	All~`hum~a	اللّٰهُمَّ	noun	All~`hum~a	اللّٰهُمَّ	truly;certainly;oh_God!;dear_God_[ARAMORPH]	None	None
AnSr	انصر	naSar	نَصَر	verb	>unoSur	أُنْصُر	assist;render_victorious;deliver_[CALIMA]+you_[CALIMA]	None	None
Almntxb	المنتخب	munotaxab	مُنْتَخَب	noun	munotaxab	مُنْتَخَب	the_[CALIMA]+national_team;anthology_[CALIMA]	None	None
Altwnsy	التونسي	tuwnisiy~	تُونِسِيّ	adj	tuwnisiy~	تُونِسِيّ	the_[ARAMORPH]+Tunisian_[ARAMORPH]	None	None
>*n	أذن	>a*~in	أَذِّن	verb	>a*~in	أَذِّن	call_pray;call_prayer_[CALIMA]+he;it_[CALIMA]	None	None
lm	لم	lam	لَم	part_neg	lam	لَم	not_[ARAMORPH]	None	None
tEbr	تعبر	Eab~ar	عَبَّر	verb	Eab~ar	عَبَّر	it;they;she_[CALIMA]+express;be_expressed_[CALIMA]	None	None
bkAml	بكامل	kAmil	كامِل	adj	kAmil	كامِل	with;by_[CALIMA]+complete;full;integral_[CALIMA]	None	None
mHyThA	محيطها	muHiyT	مُحِيط	adj	muHiyT	مُحِيط	surrounding;peripheral_[ARAMORPH]+its;their;her_[ARAMORPH]	None	None
ybqY	يبقى	baqaY	بَقَى	verb	boqaY	بْقَى	he;it_[CALIMA]+be;became;stay_at_home;become;reside;remain_[CALIMA]	None	None
hdf	هدف	hadaf	هَدَف	noun	hadaf	هَدَف	goal;objective;intention;goals;objectives;intentions;target;targets_[CALIMA]	None	None
gyr	غير	gayor	غَيْر	noun	gayor	غَيْر	not;other_[ARAMORPH]	None	None
SHyH	صحيح	SaHiyH	صَحِيح	adj	SaHiyH	صَحِيح	true;correct;really;truly;yes;right;healthy;in_good_health_[CALIMA]	None	None
lw	لو	law	لَو	conj_sub	law	لَو	if_[CALIMA]	None	None
AHtsb	احتسب	{iHotasab	ٱِحْتَسَب	verb	{iHotasab	ٱِحْتَسَب	take_into_consideration_[ARAMORPH]+he;it_<verb>_[ARAMORPH]	None	None
mA	ما	mA	ما	part	mA	ما	[no_gloss]_[CALIMA]	None	None
xlS	خلص	xiliS	خِلِص	verb	xiliS	خِلِص	end;finish_[CALIMA]+he;it_[CALIMA]	None	None
nfY	نفى	nafoy	نَفْي	noun	nafoy	نَفْي	denial;disavowal_[CALIMA]	None	None
Alxbr	الخبر	xabar	خَبَر	noun	xabar	خَبَر	the_[CALIMA]+news;report;reports_[CALIMA]	None	None
yA	يا	yA	يا	part_voc	yA	يا	O;oh_[CALIMA]	None	None
ryt	ريت	rayt	رَيت	verb_pseudo	rayt	رَيت	Would_that!;would_God!;I_wish!;if_only!_[CALIMA]	None	None
Tlb	طلب	Talab	طَلَب	noun	Talab	طَلَب	quest;search;request;demand;requests;demands_[CALIMA]	None	None
mn	من	man	مَن	pron_interrog	man	مَن	who;whom_[ARAMORPH]	None	None
dktwrnA	دكتورنا	dukotuwr	دُكْتُور	noun	dukotuwr	دُكْتُور	doctor_[ARAMORPH]+our_[ARAMORPH]	None	None
AlgAlY	الغالى	gAliy~	غالِيّ	adj	gAliy~	غالِيّ	the_[ARAMORPH]+Gallic;Gaul_[ARAMORPH]	None	None
EAyz	عايز	EAyiz	عايِز	adj	EAyiz	عايِز	needing;liking;requiring;wanting;desiring_[CALIMA]	None	None
drs	درس	daros	دَرْس	noun	daros	دَرْس	studying;checking;examining;lesson;study;lessons;classes_[CALIMA]	None	None
ElA'	علاء	EalA'	عَلاء	noun_prop	EalA'	عَلاء	Alaa_[CALIMA]	None	None
SAdq	صادق	SAdiq	صادِق	adj	SAdiq	صادِق	veracious;truthful_[CALIMA]	None	None
lbndq	لبندق	lbndq	لبندق	noun_prop	lbndq	لبندق	NO_ANALYSIS_[ARAMORPH]	None	None
wrdh	ورده	warodap	وَرْدَة	noun	warod	وَرْد	rose;flower_[CALIMA]+[fem.sg.]_[CALIMA]	None	None
ElY	على	EalaY	عَلَى	prep	EalaY	عَلَى	on;above_[CALIMA]	None	None
AlSHfY	الصحفى	SuHufiy~	صُحُفِيّ	noun	SuHufiy~	صُحُفِيّ	the_[ARAMORPH]+journalist;reporter_[ARAMORPH]	None	None
AlsEwdY	السعودى	saEuwdiy~	سَعُودِيّ	adj	saEuwdiy~	سَعُودِيّ	the_[ARAMORPH]+Saudi_[ARAMORPH]	None	None
fydyw	فيديو	fiydoyuw	فِيدْيُو	noun	fiydoyuw	فِيدْيُو	video;videos_[CALIMA]	None	None
lAn	لان	<in~	إِنّ	conj_sub	li<in~	لِإِنّ	if_[CALIMA]	None	None
