word_bw	word_ar	lemma_bw	lemma_ar	pos	stem_bw	stem_ar	gloss	root_bw	root_ar
yElm	يعلم	Eilim	عِلِم	verb	Eolam	عْلَم	he;it_[CALIMA]+know;find_out_[CALIMA]	None	None
Elyh	عليه	EalaY	عَلَى	prep	Ealayh	عَلَيه	on;above_[CALIMA]	None	None
kl	كل	kul~	كُلّ	noun_quant	kul~	كُلّ	all;entire;every;whole_[CALIMA]	None	None
qyAdAt	قيادات	qiyAdap	قِيادَة	noun	qiyAd	قِياد	leadership;command;leaders;commanders_[CALIMA]+[fem.pl.]_[CALIMA]	None	None
ms}wlp	مسئولة	maso&uwl	مَسْؤُول	adj	maso}uwl	مَسْئُول	responsible;dependable_[ARAMORPH]+its;his_[ARAMORPH]	None	None
En	عن	Ean	عَن	prep	Ean	عَن	(away)_from;off;about;on;over_[CALIMA]	None	None
mA	ما	mA	ما	pron_rel	mA	ما	why;what;which_[CALIMA]	None	None
Hdv	حدث	Hadav	حَدَث	verb	Hadav	حَدَث	happen;take_place_[CALIMA]+he;it_[CALIMA]	None	None
l$wyp	لشوية	$iway~ap	شِوَيَّة	noun	$iway~	شِوَيّ	for;to_[CALIMA]+little;small_[CALIMA]+[fem.sg.]_[CALIMA]	None	None
$bAb	شباب	$Ab~	شابّ	noun	$abAb	شَباب	young_man;young_men_[CALIMA]	None	None
wATfAl	واطفال	Tifol	طِفْل	noun	AaTofAl	اَطْفال	and_[CALIMA]+child;boy;girl;children;infants_[CALIMA]	None	None
Allh	الله	All~ah	اللَّه	noun_prop	All~ah	اللَّه	TBA_[CALIMA]	None	None
yrHmhm	يرحمهم	raHam	رَحَم	verb	roHam	رْحَم	he;it_[CALIMA]+mercy;have_mercy;protect;be_compassionate;have_mercy_on;bless;have_pity_on;be_merciful_[CALIMA]+them_[CALIMA]	None	None
wAllh	والله	All~ah	اللَّه	noun_prop	All~ah	اللَّه	and;with_[CALIMA]+TBA_[CALIMA]	None	None
yjAzY	يجازى	jAzaY	جازَى	verb	jAziy	جازِي	he;it_[CALIMA]+sanction;reward;punish;be_sanctioned;be_rewarded;be_punished_[CALIMA]	None	None
AllY	اللى	All~iy	اللِّي	pron_rel	All~iy	اللِّي	which;who;whom_[CALIMA]	None	None
kAn	كان	kAn	كان	verb	kAn	كان	be;was;were_[CALIMA]+he;it_[CALIMA]	None	None
Alsbb	السبب	sabab	سَبَب	noun	sabab	سَبَب	the_[CALIMA]+reason;cause;because_of;due_to;reasons;causes;circumstances_[CALIMA]	None	None
wTlE	وطلع	TiliE	طِلِع	verb	TiliE	طِلِع	and_[CALIMA]+emerge;go_out;rise;appear_[CALIMA]+he;it_[CALIMA]	None	None
AlyAfTp	اليافطة	yafoTap	يَفْطَة	noun	yAfoT	يافْط	the_[ARAMORPH]+placard;sign_[ARAMORPH]+[fem.sg.]_[ARAMORPH]	None	None
wDrb	وضرب	Darob	ضَرْب	noun	Darob	ضَرْب	and_[CALIMA]+strike;attack;bombardment;beating;hitting;striking_[CALIMA]	None	None
$mAryx	شماريخ	$umoruwx	شُمْرُوخ	noun	$amAriyx	شَمارِيخ	petard;detonator_[ARAMORPH]	None	None
wSwAryx	وصواريخ	SAruwx	صارُوخ	noun	SawAriyx	صَوارِيخ	and_[ARAMORPH]+missiles;rockets_[ARAMORPH]	None	None
AlDrb	الضرب	Darob	ضَرْب	noun	Darob	ضَرْب	the_[CALIMA]+strike;attack;bombardment;beating;hitting;striking_[CALIMA]	None	None
mkAn$	مكانش	kAn	كان	verb	kAn	كان	not_[CALIMA]+be;was;were_[CALIMA]+he;it_+_not_[CALIMA]	None	None
E$An	عشان	$a>on	شَأْن	noun	$a>on	شَأْن	on;above_[CALIMA]+matter;affair;case;importance;status;situation;condition;affairs_[CALIMA]	None	None
AlyAfTp	اليافطة	yafoTap	يَفْطَة	noun	yAfoT	يافْط	the_[ARAMORPH]+placard;sign_[ARAMORPH]+[fem.sg.]_[ARAMORPH]	None	None
bs	بس	bas~	بَسّ	conj	bas~	بَسّ	Rather;even;but;yet;however;but_rather_[CALIMA]	None	None
wlkn	ولكن	lakin	لَكِن	conj	lakin	لَكِن	and_[CALIMA]+Rather;even;but;yet;however;but_rather_[CALIMA]	None	None
E$An	عشان	$a>on	شَأْن	noun	$a>on	شَأْن	on;above_[CALIMA]+matter;affair;case;importance;status;situation;condition;affairs_[CALIMA]	None	None
HAjAt	حاجات	HAjap	حاجَة	noun	HAj	حاج	need;needs;thing;belongings_[CALIMA]+[fem.pl.]_[CALIMA]	None	None
ktyr	كتير	kiviyr	كِثِير	adj	kitiyr	كِتِير	very;much;several;numerous;a_lot;alot;many_[CALIMA]	None	None
qbl	قبل	qabol	قَبْل	noun	qabol	قَبْل	before;previously;formerly_[CALIMA]	None	None
kdp	كدة	kidah	كِدَه	noun	kidah	كِدَه	this;after_all_that_time;in_this_way;approximately;like_that;as_such;that;like_[CALIMA]	None	None
lkn	لكن	lakin	لَكِن	conj	lakin	لَكِن	Rather;even;but;yet;however;but_rather_[CALIMA]	None	None
AlyAfTp	اليافطة	yafoTap	يَفْطَة	noun	yAfoT	يافْط	the_[ARAMORPH]+placard;sign_[ARAMORPH]+[fem.sg.]_[ARAMORPH]	None	None
kAnt	كانت	kAn	كان	verb	kAn	كان	be;was;were_[CALIMA]+it;they;she_[CALIMA]	None	None
$rArp	شرارة	$arArap	شَرارَة	noun	$arAr	شَرار	sparks_[ARAMORPH]+its;his_[ARAMORPH]	None	None
AlAnTlAq	الانطلاق	{inoTilAq	ٱِنْطِلاق	noun	{inoTilAq	ٱِنْطِلاق	the_[ARAMORPH]+departure_[ARAMORPH]	None	None
nfsY	نفسى	nifos	نِفْس	noun	nifos	نِفْس	wish;mood_[CALIMA]+my_[CALIMA]	None	None
AErf	اعرف	Earaf	عَرَف	verb	Eoraf	عْرَف	I_[CALIMA]+know;be_known_[CALIMA]	None	None
mn	من	min	مِن	prep	min	مِن	from_[CALIMA]	None	None
AlgbY	الغبى	gabiy	غَبِي	adj	gabiy	غَبِي	the_[CALIMA]+stupid;ignorant_[CALIMA]	None	None
SAHb	صاحب	SAHib	صاحِب	noun	SAHib	صاحِب	owner;originator;owners;originators;friend;companion;friends;companions_[CALIMA]	None	None
h*h	هذه	h`*A	هٰذا	pron_dem	h`*ihi	هٰذِهِ	this;these_[ARAMORPH]	None	None
AlrsAlp	الرسالة	risAlap	رِسالَة	noun	risAl	رِسال	the_[CALIMA]+letter;communication;dissertation;letters;messages;mission;task_[CALIMA]+[fem.sg.]_[CALIMA]	None	None
AlHqyrp	الحقيرة	Haqiyr	حَقِير	adj	Haqiyr	حَقِير	the_[CALIMA]+despised;despicable_[CALIMA]+[fem.sg.]_[CALIMA]	None	None
Aywh	ايوه	>aywah	أَيوَه	interj	>aywah	أَيوَه	yes_[CALIMA]	None	None
kdh	كده	kidah	كِدَه	noun	kidah	كِدَه	this;after_all_that_time;in_this_way;approximately;like_that;as_such;that;like_[CALIMA]	None	None
AtEdl	اتعدل	AitoEadal	اِتْعَدَل	verb	AitoEadal	اِتْعَدَل	be_stable;alter;be_moderate;be_altered;modify;be_steady;rectify;be_corrected_[CALIMA]+he;it_[CALIMA]	None	None
fY	فى	fiy	فِي	prep	fiy	فِي	in_[CALIMA]	None	None
Hd	حد	Had~	حَدّ	noun	Had~	حَدّ	stop;halt;end;extent;limit;level;border;frontier_[CALIMA]	None	None
lsh	لسه	lis~ah	لِسَّه	adv	lis~ah	لِسَّه	yet_[CALIMA]	None	None
hnA	هنا	hinA	هِنا	adv	hinA	هِنا	here_[CALIMA]	None	None
w$krA	وشكرا	$ukor	شُكْر	noun	$ukor	شُكْر	and_[CALIMA]+thankfulness;thanks;thank_you_[CALIMA]+[acc.indef.]_[CALIMA]	None	None
ElY	على	EalaY	عَلَى	prep	EalaY	عَلَى	on;above_[CALIMA]	None	None
rdk	ردك	rad~	رَدّ	noun	rad~	رَدّ	reply_[ARAMORPH]+your_[ARAMORPH]	None	None
AlwAHd	الواحد	wAHid	واحِد	noun	wAHid	واحِد	the_[CALIMA]+one_[CALIMA]	None	None
myErf$	ميعرفش	Eirif	عِرِف	verb	Eoraf	عْرَف	not_+_he;it_[CALIMA]+be_known;know_[CALIMA]+not_[CALIMA]	None	None
ynAm	ينام	nAm	نام	verb	nAm	نام	he;it_[CALIMA]+sleep;lie_down_[CALIMA]	None	None
xAlS	خالص	xAliS	خالِص	adj	xAliS	خالِص	pure;clear;sincere_[CALIMA]	None	None
fy	في	fiy	فِي	prep	fiy	فِي	in_[CALIMA]	None	None
Albld	البلد	balad	بَلَد	noun	balad	بَلَد	the_[CALIMA]+country;countries_[CALIMA]	None	None
dY	دى	diy	دِي	pron_dem	diy	دِي	this;that_[CALIMA]	None	None
bs	بس	bas~	بَسّ	conj	bas~	بَسّ	Rather;even;but;yet;however;but_rather_[CALIMA]	None	None
Ant	انت	Ainota	اِنْتَ	pron	Ainota	اِنْتَ	you_[masc.sg.];you;masculine_[CALIMA]	None	None
lw	لو	law	لَو	conj_sub	law	لَو	if_[CALIMA]	None	None
EAyz	عايز	EAyiz	عايِز	adj	EAyiz	عايِز	needing;liking;requiring;wanting;desiring_[CALIMA]	None	None
tnzl	تنزل	nazal	نَزَل	verb	nozil	نْزِل	it;they;she_[CALIMA]+descend;stay_[CALIMA]	None	None
Alqr>n	القرأن	quro|n	قُرْآن	noun_prop	quro|n	قُرْآن	the_[ARAMORPH]+Quran_[ARAMORPH]	None	None
kAml	كامل	kAmil	كامِل	adj	kAmil	كامِل	complete;full;integral_[CALIMA]	None	None
ll$yx	للشيخ	$ayox	شَيْخ	noun	$ayox	شَيْخ	to;for_+_the_[ARAMORPH]+sheikh;chieftain_[ARAMORPH]	None	None
mHmd	محمد	muHam~ad	مُحَمَّد	noun_prop	muHam~ad	مُحَمَّد	Muhammad;Mohamed_[ARAMORPH]	None	None
jbryl	جبريل	jiboriyl	جِبْرِيل	noun_prop	jiboriyl	جِبْرِيل	Gabriel_[CALIMA]	None	None
Aw	او	>aw	أَو	conj	>aw	أَو	Or;if_not;unless;except_if;except_when_[CALIMA]	None	None
lAY	لاى	>ay~	أَيّ	noun_quant	>ay~	أَيّ	for;to_[CALIMA]+any_[CALIMA]	None	None
$yx	شيخ	$ayx	شَيخ	noun	$ayx	شَيخ	Sheikh;chieftain;Sheikhs;chieftains;senators_[CALIMA]	None	None
Axr	اخر	|xar	آخَر	adj	|xar	آخَر	other;another_[CALIMA]	None	None
yAllh	يالله	yal~A	يَلّا	interj	yAllah	ياللَه	TBA_[CALIMA]	None	None
yA	يا	yA	يا	part_voc	yA	يا	O;oh_[CALIMA]	None	None
AbTAl	ابطال	baTal	بَطَل	noun	AaboTAl	اَبْطال	hero;champion;star;heroine;heroes;champions;stars_[CALIMA]	None	None
fADl	فاضل	fADil	فاضِل	noun_prop	fADil	فاضِل	Fadil_[ARAMORPH]	None	None
5	5	5	5	digit	5	5	5	None	None
dqAyq	دقايق	diqiyqap	دِقِيقَة	noun	daqAyiq	دَقايِق	minute;minutes_[CALIMA]	None	None
E*rA	عذرا	Eu*or	عُذْر	noun	Eu*or	عُذْر	excuse_[ARAMORPH]+[acc.indef.]_[ARAMORPH]	None	None
AbnA'	ابناء	Aibon	اِبْن	noun	AabonA'	اَبْناء	son;children_of;children;daughter;sons_[CALIMA]	None	None
Alsyd	السيد	say~id	سَيِّد	noun	say~id	سَيِّد	the_[CALIMA]+Sir;Mr.;Mister;Sirs;Messrs.;gentlement;master_[CALIMA]	None	None
AlbdwY	البدوى	badawiy	بَدَوِي	noun_prop	badawiy	بَدَوِي	the_[CALIMA]+Badawi_[CALIMA]	None	None
yAjmAEp	ياجماعة	jamAEap	جَماعَة	noun	jamAE	جَماع	O;oh_[CALIMA]+party;group;squad;groups;parties;squads_[CALIMA]+[fem.sg.]_[CALIMA]	None	None
$w	شو	$uw	شُو	noun_prop	$uw	شُو	Shaw_[ARAMORPH]	None	None
r>ykm	رأيكم	ra>oy	رَأْي	noun	ra>oy	رَأْي	opinion;view;idea;opinions;views;ideas_[CALIMA]+your_[CALIMA]	None	None
bklAm	بكلام	kalAm	كَلام	noun	kalAm	كَلام	with;by_[CALIMA]+speech;statement;remark;talk;saying_[CALIMA]	None	None
AbrAhym	ابراهيم	<iborAhiym	إِبْراهِيم	noun_prop	<iborAhiym	إِبْراهِيم	Ibrahim_[ARAMORPH]	None	None
sEyd	سعيد	saEiyd	سَعِيد	noun_prop	saEiyd	سَعِيد	Said;Saeed_[CALIMA]	None	None
<nh	إنه	<in~	إِنّ	conj_sub	<in~uh	إِنُّه	if_[CALIMA]	None	None
nfsh	نفسه	nafos	نَفْس	noun	nafos	نَفْس	same;self;selves;soul;souls_[CALIMA]+his;its_[CALIMA]	None	None
yrjE	يرجع	rijiE	رِجِع	verb	rojaE	رْجَع	he;it_[CALIMA]+come_back;return_[CALIMA]	None	None
Al>hly	الأهلي	>aholiy~	أَهْلِيّ	noun_prop	>aholiy~	أَهْلِيّ	the_[CALIMA]+Ahly;Ahli_[ARAMORPH]	None	None
tAny	تاني	tAniy	تانِي	adj	tAniy	تانِي	the_last;secondly;again;next;second;thani;other_[CALIMA]	None	None
Allhm	اللهم	All~`hum~a	اللّٰهُمَّ	noun	All~`hum~a	اللّٰهُمَّ	truly;certainly;oh_God!;dear_God_[ARAMORPH]	None	None
AnSr	انصر	naSar	نَصَر	verb	>unoSur	أُنْصُر	assist;render_victorious;deliver_[CALIMA]+you_[CALIMA]	None	None
Almntxb	المنتخب	munotaxab	مُنْتَخَب	noun	munotaxab	مُنْتَخَب	the_[CALIMA]+national_team;anthology_[CALIMA]	None	None
Altwnsy	التونسي	tuwnisiy~	تُونِسِيّ	adj	tuwnisiy~	تُونِسِيّ	the_[ARAMORPH]+Tunisian_[ARAMORPH]	None	None
>*n	أذن	<i*on	إِذْن	noun	<i*on	إِذْن	permission;authorization;bonds_[CALIMA]	None	None
lm	لم	lam	لَم	part_neg	lam	لَم	not_[ARAMORPH]	None	None
tEbr	تعبر	Eab~ar	عَبَّر	verb	Eab~ar	عَبَّر	it;they;she_[CALIMA]+express;be_expressed_[CALIMA]	None	None
bkAml	بكامل	kAmil	كامِل	adj	kAmil	كامِل	with;by_[CALIMA]+complete;full;integral_[CALIMA]	None	None
mHyThA	محيطها	muHiyT	مُحِيط	adj	muHiyT	مُحِيط	surrounding;peripheral_[ARAMORPH]+its;their;her_[ARAMORPH]	None	None
ybqY	يبقى	baqaY	بَقَى	verb	baqaY	بَقَى	he;it_[CALIMA]+be;became;stay_at_home;become;reside;remain_[CALIMA]	None	None
hdf	هدف	hadaf	هَدَف	noun	hadaf	هَدَف	goal;objective;intention;goals;objectives;intentions;target;targets_[CALIMA]	None	None
gyr	غير	gayr	غَير	noun	gayr	غَير	not;other_[CALIMA]	None	None
SHyH	صحيح	SaHiyH	صَحِيح	adj	SaHiyH	صَحِيح	true;correct;really;truly;yes;right;healthy;in_good_health_[CALIMA]	None	None
lw	لو	law	لَو	conj_sub	law	لَو	if_[CALIMA]	None	None
AHtsb	احتسب	{iHotasab	ٱِحْتَسَب	verb	Hotasib	حْتَسِب	I_[ARAMORPH]+take_into_consideration_[ARAMORPH]	None	None
mA	ما	mA	ما	pron_rel	mA	ما	why;what;which_[CALIMA]	None	None
xlS	خلص	xuluS	خُلُص	verb	xuluS	خُلُص	be_ended;elapse;go_by;pass;be_concluded;be_completed;come_an_end;finish_[CALIMA]+he;it_[CALIMA]	None	None
nfY	نفى	nafoy	نَفْي	noun	nafoy	نَفْي	denial;disavowal_[CALIMA]	None	None
Alxbr	الخبر	xabar	خَبَر	noun	xabar	خَبَر	the_[CALIMA]+news;report;reports_[CALIMA]	None	None
yA	يا	yA	يا	part_voc	yA	يا	O;oh_[CALIMA]	None	None
ryt	ريت	rayt	رَيت	verb_pseudo	rayt	رَيت	Would_that!;would_God!;I_wish!;if_only!_[CALIMA]	None	None
Tlb	طلب	Talab	طَلَب	verb	Talab	طَلَب	request;be_requested_[CALIMA]+he;it_[CALIMA]	None	None
mn	من	min	مِن	prep	min	مِن	from_[CALIMA]	None	None
dktwrnA	دكتورنا	dukotuwr	دُكْتُور	noun	dukotuwr	دُكْتُور	doctor_[ARAMORPH]+our_[ARAMORPH]	None	None
AlgAlY	الغالى	gAliy	غالِي	noun	gAliy	غالِي	the_[ARAMORPH]+costly;beloved_[ARAMORPH]	None	None
EAyz	عايز	EAyiz	عايِز	adj	EAyiz	عايِز	needing;liking;requiring;wanting;desiring_[CALIMA]	None	None
drs	درس	daros	دَرْس	noun	daros	دَرْس	studying;checking;examining;lesson;study;lessons;classes_[CALIMA]	None	None
ElA'	علاء	EalA'	عَلاء	noun_prop	EalA'	عَلاء	Alaa_[CALIMA]	None	None
SAdq	صادق	SAdiq	صادِق	adj	SAdiq	صادِق	veracious;truthful_[CALIMA]	None	None
lbndq	لبندق	bunoduq	بُنْدُق	noun	bunoduq	بُنْدُق	indeed;truly_[ARAMORPH]+hazelnut;bullet_[ARAMORPH]	None	None
wrdh	ورده	warodap	وَرْدَة	noun	warod	وَرْد	rose;flower_[CALIMA]+[fem.sg.]_[CALIMA]	None	None
ElY	على	EalaY	عَلَى	prep	EalaY	عَلَى	on;above_[CALIMA]	None	None
AlSHfY	الصحفى	SuHufiy~	صُحُفِيّ	adj	SuHufiy~	صُحُفِيّ	the_[CALIMA]+journalistic;press;newspaper_[CALIMA]	None	None
AlsEwdY	السعودى	saEuwdiy~	سَعُودِيّ	adj	saEuwdiy~	سَعُودِيّ	the_[ARAMORPH]+Saudi_[ARAMORPH]	None	None
